          type |  Ttrain |   Ttest | Dsize | Vsize |   Bco |   Pco |   Aco |   Bfa
  [poly_1.0_2] |     0.4 |     4.5 |   140 |  2061 |  1890 |    71 |    45 |    55
  [poly_1.0_3] |     0.5 |     5.6 |   140 |  2061 |  1876 |    77 |    50 |    58
  [poly_1.0_4] |     0.4 |     6.3 |   140 |  2061 |  1847 |    91 |    56 |    67
  [poly_1.0_5] |     0.4 |     7.1 |   140 |  2061 |  1820 |   105 |    68 |    68
  [poly_1.0_6] |     0.6 |     7.5 |   140 |  2061 |  1789 |   114 |    76 |    82
  [poly_1.0_7] |     0.6 |     7.7 |   140 |  2061 |  1759 |   123 |    85 |    94
  [poly_1.0_8] |     0.4 |     7.6 |   140 |  2061 |  1733 |   133 |    78 |   117
  [poly_1.0_9] |     0.6 |     8.3 |   140 |  2061 |  1713 |   143 |    75 |   130
 [rbf_1.0_0.0] |     0.4 |     7.2 |   140 |  2061 |  1235 |   253 |    89 |   484
 [rbf_1.0_0.1] |     0.4 |     7.2 |   140 |  2061 |  1140 |   305 |    23 |   593
 [rbf_1.0_0.2] |     0.6 |    10.3 |   140 |  2061 |  1140 |   305 |    23 |   593
 [rbf_1.0_0.3] |     0.6 |    10.1 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.4] |     0.6 |     9.5 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.5] |     0.6 |    10.4 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.6] |     0.4 |     7.8 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.7] |     0.4 |     7.1 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.8] |     0.6 |    10.4 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.9] |     0.4 |     6.4 |   140 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_1.0] |     0.4 |     6.8 |   140 |  2061 |  1140 |   305 |    22 |   594
  [linear_1.0] |     0.2 |     3.1 |   140 |  2061 |  1851 |   101 |    54 |    55
